From,To,Weight,Dist,Cost,IntProb
1,2,9,34.82866,6861769,0.271
1,3,10,28.20328,8126691,0.651
1,4,11,33.87576,20194391,0.651
2,5,12,38.16135,34223788,0.651
3,5,13,37.00355,36557655,0.651
4,5,13,37.58794,48711489,0.651
5,6,13,30.07095,73044222,0.651
5,7,12,40.11412,61472401,0.651
6,7,13,24.09495,55641720,0.651
6,8,13,29.30103,69975322,0.651
6,9,13,21.73738,52188964,0.651
7,9,13,13.87069,20865137,0.651
7,10,12,29.48522,37381512,0.651
7,11,12,25.75644,31460564,0.651
8,9,13,22.87832,36219680,0.651
10,11,12,24.23113,26087836,0.651
11,12,12,30.24698,22037525,0.651
12,13,10,38.41839,8865773,0.271
12,14,9,34.24621,7694199,0.271
13,14,7,29.48895,842027.4,0.198
