From,To,Weight,Dist,IntProb,Cost (Not Scaled)
1,15,8.016323,8.171853,0.374,662704.6193
5,9,8.41883,14.11186,0.374,1178058
1,16,8.684295,14.74807,0.374,1439691.763
5,19,8.533127,18.72857,0.271,2457544
1,24,7.470404,13.55608,0.171,917963.6409
5,20,8.350782,15.78395,0.374,1553172
1,26,7.528069,4.241986,0.198,150662.6133
5,22,7.73737,16.05263,0.374,1524246
2,6,8.279528,17.33933,0.271,2432048.499
5,23,7.172923,17.53665,0.171,1149054
2,10,8.478366,17.59454,0.271,2357843.971
5,27,7.584062,13.69426,0.271,1727531
2,12,6.946079,12.14746,0.374,942473.1844
5,29,9.691622,3.852422,0.271,505907.8
2,33,8.212722,10.44293,0.271,1062348.758
5,30,8.481027,14.90839,0.374,1358885
3,4,9.415545,18.05093,0.651,13121403.55
5,32,8.110013,13.75975,0.271,1630750
3,7,7.727003,18.83407,0.271,2927680.509
5,34,7.788793,17.64431,0.374,1757338
3,8,8.28411,14.70038,0.374,1206063.454
5,35,7.529903,14.4623,0.171,1054475
3,9,8.16067,15.05049,0.374,1326550.124
5,36,9.417777,2.883901,0.374,270567.6
3,14,7.861747,9.398217,0.171,676558.8257
5,37,7.818423,11.86443,0.171,661810
3,15,7.403972,19.8408,0.271,2092312.049
6,12,6.792372,19.79082,0.271,2546446
3,16,8.624268,18.8818,0.271,2303163.863
6,27,6.996578,19.62727,0.271,3624489
3,19,9.098565,8.350391,0.271,1134642.829
6,29,8.291314,12.34901,0.271,2344311
3,20,8.265732,14.04892,0.271,1447910.11
6,33,8.20918,12.89908,0.271,1971121
3,22,7.469082,16.41357,0.374,1635004.972
6,36,8.13966,9.479126,0.271,1444012
3,23,7.190216,13.06028,0.171,916609.5671
7,8,10.19738,4.664354,0.271,717643.5
3,26,6.607582,17.70367,0.171,1060024.933
7,9,10.26915,3.850932,0.271,615972
3,28,8.559265,6.625527,0.374,628119.8221
7,19,9.54161,10.49112,0.271,2178933
3,30,8.480386,12.08217,0.374,1157581.034
7,20,10.02312,4.854159,0.271,848875.9
3,31,8.754331,4.806158,0.374,409633.6652
7,22,9.838417,3.339967,0.271,572560.5
3,32,7.630767,17.5167,0.271,2157637.339
7,23,8.910919,6.285094,0.271,892464.5
3,37,7.402226,14.19786,0.171,858132.6239
7,27,8.949411,5.518881,0.271,1118258
3,38,7.288207,16.53616,0.374,1347977.984
7,28,8.760237,13.29915,0.271,2215864
4,5,9.501801,8.791686,0.651,6349795.44
7,29,9.241067,9.702188,0.271,2016076
4,6,9.638025,17.23456,0.651,13456162.24
7,30,9.744073,7.230779,0.271,1212045
4,7,10.06665,5.859699,0.651,4680281.927
7,31,8.629008,14.20194,0.271,2230343
4,8,11.00486,4.517858,0.651,3276897
7,32,10.87941,1.32882,0.271,259106.6
4,9,10.69136,5.405854,0.651,3953938.586
7,34,9.319009,6.391176,0.271,1125307
4,19,10.15645,10.30727,0.651,8030982.954
7,35,9.709985,3.077937,0.271,459800.6
4,20,10.35833,7.048698,0.651,5260725.563
7,36,8.448296,14.64535,0.271,2494015
4,22,9.722018,7.808095,0.651,5800563.326
7,37,9.058359,7.535297,0.271,996580.7
4,23,9.41224,8.777944,0.651,6262720.55
7,38,8.91026,8.001486,0.271,1226876
4,27,9.020779,9.614337,0.651,7442343.08
8,9,10.2459,1.345289,0.374,116436.1
4,28,9.423855,14.2083,0.651,10486876.21
8,19,9.116149,6.442887,0.271,865215.3
4,29,10.49597,4.939524,0.651,3849173.1
8,20,9.611527,2.665496,0.271,270475.8
4,30,10.59648,6.33821,0.651,4684488.822
8,22,8.597417,4.389858,0.374,430311.5
4,31,9.459483,13.26718,0.651,9665260.453
8,23,8.1906,4.30727,0.171,295452.9
4,32,10.07957,5.793293,0.651,4440292.472
8,27,7.472049,10.0915,0.271,1304033
4,34,9.399768,12.00255,0.651,8972336.479
8,28,8.059707,9.99787,0.374,931941.4
4,35,9.519925,8.461469,0.651,6099450.183
8,29,8.370696,9.457124,0.271,1270971
4,36,9.589571,9.453755,0.651,7012398.654
8,30,9.698962,2.676813,0.374,252209.4
4,37,10.56337,3.932176,0.651,2767147.055
8,31,7.963992,9.932397,0.374,830765.5
4,38,9.230637,12.81115,0.651,9285458.63
8,32,8.997149,3.596813,0.271,437325.7
5,6,9.273737,8.567376,0.271,1137987.435
8,34,7.838416,10.77669,0.271,1106432
5,7,8.313079,13.19387,0.271,1989451.624
8,35,7.750045,7.716095,0.374,586292
5,8,8.566878,13.30885,0.374,1029878.825
8,36,7.552469,13.84552,0.374,1341506
8,37,8.664047,3.42912,0.171,201810.5
19,31,9.256748,3.767398,0.271,517934.3
8,38,7.765055,8.924208,0.374,713294.1
19,32,8.343451,9.179778,0.271,1610344
9,19,9.209457,6.701249,0.271,940768.2
19,34,7.792178,15.46831,0.271,2420868
9,20,10.20628,1.679423,0.271,180655.5
19,35,7.614739,13.19565,0.271,1713047
9,22,9.092541,3.046757,0.271,317231.4
19,36,7.567121,18.54865,0.271,2795782
9,23,8.56261,3.44706,0.171,257464.3
19,37,8.458387,6.875939,0.271,774835.8
9,27,7.672646,9.369519,0.271,1267865
19,38,8.037167,9.84201,0.271,1316507
9,28,8.211966,9.862427,0.374,979447.5
20,22,9.445503,2.664163,0.271,317149.9
9,29,8.41965,10.2832,0.271,1444686
20,23,9.474409,1.768913,0.374,158517.6
9,30,9.600971,3.440941,0.271,345184.9
20,27,7.783533,10.2596,0.271,1541402
9,31,8.065538,10.37181,0.374,930755.8
20,28,8.588365,8.472561,0.271,967846.1
9,32,9.442002,2.607653,0.271,332955.6
20,29,8.467929,11.9496,0.271,1857111
9,34,8.086402,9.645082,0.271,1049057
20,30,9.809933,3.491669,0.271,402376.4
9,35,8.028631,6.777386,0.374,556287.9
20,31,8.387635,9.530197,0.271,997440
9,36,7.618574,14.84785,0.271,1529150
20,32,9.351567,3.525666,0.271,502781.1
9,37,8.509141,4.773457,0.171,310031.3
20,34,8.283901,9.837228,0.271,1216747
9,38,8.06291,7.651411,0.374,658212.7
20,35,8.187364,7.430675,0.374,720790.3
10,25,8.747682,9.196131,0.271,1697054
20,36,7.74431,16.46335,0.271,1941194
10,33,7.785408,12.29677,0.271,1802202
20,37,8.595285,5.827087,0.374,465415.2
11,13,7.695108,8.823023,0.171,542024.8
20,38,8.483974,6.376554,0.271,643694
11,17,8.236412,6.056023,0.374,499064.8
21,27,7.243047,17.34663,0.271,2235408
12,21,7.706011,19.58382,0.171,1427053
21,34,7.779943,15.80177,0.271,1616758
12,27,7.368481,19.95854,0.271,2434743
21,35,7.17187,18.90386,0.374,1429680
13,17,7.199094,11.94934,0.171,743905.9
21,39,9.14987,14.41949,0.271,3252315
14,19,8.117314,17.64406,0.271,2192010
22,23,9.01699,3.377376,0.374,291008.3
14,26,6.395524,16.40192,0.198,791097.6
22,27,8.224147,8.123962,0.271,1192524
14,28,7.448173,15.85997,0.374,1318899
22,28,8.573335,10.42454,0.271,1154872
14,31,7.44825,13.92586,0.171,1024762
22,29,8.673656,12.35802,0.271,1877961
15,16,9.562628,6.833619,0.271,982681.3
22,30,9.51547,6.066153,0.271,678135.2
15,18,8.551033,15.52437,0.271,2716532
22,31,8.338571,12.0456,0.271,1219159
15,24,8.634725,5.39373,0.271,614335
22,32,9.973252,2.334372,0.271,324844.2
15,26,7.266457,10.15935,0.374,830009.1
22,34,8.814507,7.203317,0.271,866119.6
15,28,7.57857,18.19737,0.271,2122286
22,35,8.746874,5.139051,0.374,480773.7
16,18,8.7621,9.202043,0.271,1762265
22,36,7.868269,17.17054,0.271,1965358
16,19,7.931811,18.57998,0.271,3237098
22,37,8.490509,7.818969,0.374,597541.2
16,20,7.584924,19.39557,0.271,2742688
22,38,8.905302,5.036134,0.374,491013
16,22,7.060371,19.28277,0.271,2660232
23,27,7.733101,11.45976,0.271,1344928
16,23,6.805822,17.68081,0.271,1918881
23,28,8.713821,7.077573,0.374,575788.9
16,24,8.977987,3.062476,0.271,399411.2
23,29,8.439562,13.69629,0.271,1678248
16,26,6.82135,15.74679,0.374,1546681
23,30,9.665374,4.243821,0.374,349521.1
16,28,7.573211,15.05296,0.271,2004287
23,31,8.375015,8.812057,0.171,632547.1
16,31,7.258831,19.21239,0.271,2374210
23,32,9.07109,4.992275,0.271,547787.3
16,38,7.235557,14.62541,0.271,1753045
23,34,8.265234,10.42397,0.374,946590.5
17,21,7.227873,16.43274,0.374,1339071
23,35,7.977903,8.504307,0.171,545321.7
17,39,8.540633,17.46908,0.271,3970583
23,36,7.569266,18.15255,0.374,1543529
18,20,7.905373,19.7297,0.271,3405189
23,37,8.206737,7.14232,0.198,335631.9
18,22,7.421023,18.39159,0.271,3110808
23,38,8.572314,5.368391,0.171,365415.7
18,23,7.10303,18.42578,0.271,2574322
24,26,7.056801,15.35271,0.171,1048882
18,24,8.119969,10.22829,0.271,1652943
24,28,7.760264,17.89751,0.271,1847847
18,28,7.638247,19.3298,0.271,3176523
24,38,7.394339,17.59902,0.374,1583208
